GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
17005951200,2001,9512,"Bond County, Illinois",2986.27,8.68,205,17.09,437,41996,72900,25,91.83,6.6,0.54,0.2,0.07,0.07,0.7,0,4,4,1.96,1.96,0,0,0
17005951200,2002,9512,"Bond County, Illinois",2986.27,8.68,209,17.09,437,41996,72900,25,91.83,6.6,0.54,0.2,0.07,0.07,0.7,0,4,1,0.48,1.91,0,0,0
17005951200,2003,9512,"Bond County, Illinois",2986.27,8.68,214,17.09,437,41996,72900,25,91.83,6.6,0.54,0.2,0.07,0.07,0.7,0,6,2,0.94,2.81,0,0,0
17005951200,2004,9512,"Bond County, Illinois",2986.27,8.68,218,17.09,437,41996,72900,25,91.83,6.6,0.54,0.2,0.07,0.07,0.7,0,10,5,2.29,4.58,0,0,0
17005951200,2005,9512,"Bond County, Illinois",3338.19,9.48,223,14.05,642,49707,140800,26.1,82.84,11.95,0,0,0,0.24,3.83,1.14,8,5,2.24,3.59,0,0,0
17005951200,2006,9512,"Bond County, Illinois",3338.19,9.48,228,14.05,642,49707,140800,26.1,82.84,11.95,0,0,0,0.24,3.83,1.14,2,2,0.88,0.88,0,0,0
17005951200,2007,9512,"Bond County, Illinois",3338.19,9.48,232,14.05,642,49707,140800,26.1,82.84,11.95,0,0,0,0.24,3.83,1.14,7,3,1.29,3.01,0,0,0
17005951200,2008,9512,"Bond County, Illinois",3338.19,9.48,237,14.05,642,49707,140800,26.1,82.84,11.95,0,0,0,0.24,3.83,1.14,2,2,0.84,0.84,0,0,0
17005951200,2009,9512,"Bond County, Illinois",3338.19,9.48,241,14.05,642,49707,140800,26.1,82.84,11.95,0,0,0,0.24,3.83,1.14,2,1,0.41,0.83,0,0,0
17005951200,2010,9512,"Bond County, Illinois",3216,9.66,246,18.68,750,52938,124400,49,93.63,4.32,0.96,0.25,0.12,0.03,0.62,0.06,6,4,1.63,2.44,0,0,0
17005951200,2011,9512,"Bond County, Illinois",2868,7.86,250,12.98,595,55385,121800,28,94.18,4.81,0,0.21,0.28,0,0.52,0,1,1,0.4,0.4,0,0,0
17005951200,2012,9512,"Bond County, Illinois",2868,7.86,253,12.98,595,55385,121800,28,94.18,4.81,0,0.21,0.28,0,0.52,0,4,4,1.58,1.58,0,0,0
17005951200,2013,9512,"Bond County, Illinois",2868,7.86,257,12.98,595,55385,121800,28,94.18,4.81,0,0.21,0.28,0,0.52,0,3,2,0.78,1.17,1,0,0
17005951200,2015,9512,"Bond County, Illinois",2868,7.86,264,12.98,595,55385,121800,28,94.18,4.81,0,0.21,0.28,0,0.52,0,1,0,0,0.38,0,0,0
17005951300,2001,9513,"Bond County, Illinois",7093.73,11.9,639,30.38,359.01,35637.65,69000.4,24,80.94,15.07,2.41,0.54,0.47,0,0.44,0.14,8,3,0.47,1.25,0,0,0
17005951300,2002,9513,"Bond County, Illinois",7093.73,11.9,653,30.38,359.01,35637.65,69000.4,24,80.94,15.07,2.41,0.54,0.47,0,0.44,0.14,8,5,0.77,1.22,0,0,0
17005951300,2003,9513,"Bond County, Illinois",7093.73,11.9,668,30.38,359.01,35637.65,69000.4,24,80.94,15.07,2.41,0.54,0.47,0,0.44,0.14,10,6,0.9,1.5,0,0,0
17005951300,2004,9513,"Bond County, Illinois",7093.73,11.9,683,30.38,359.01,35637.65,69000.4,24,80.94,15.07,2.41,0.54,0.47,0,0.44,0.14,11,7,1.03,1.61,0,0,0
17005951300,2005,9513,"Bond County, Illinois",7383.81,8.15,698,29.3,609,40815.91,99204.27,29.8,84.02,10.21,2.78,0,2.07,0,0.92,0,29,20,2.87,4.16,0,0,0
17005951300,2006,9513,"Bond County, Illinois",7383.81,8.15,712,29.3,609,40815.91,99204.27,29.8,84.02,10.21,2.78,0,2.07,0,0.92,0,19,14,1.97,2.67,0,0,0
17005951300,2007,9513,"Bond County, Illinois",7383.81,8.15,727,29.3,609,40815.91,99204.27,29.8,84.02,10.21,2.78,0,2.07,0,0.92,0,8,6,0.83,1.1,0,0,0
17005951300,2008,9513,"Bond County, Illinois",7383.81,8.15,742,29.3,609,40815.91,99204.27,29.8,84.02,10.21,2.78,0,2.07,0,0.92,0,13,7,0.94,1.75,0,0,0
17005951300,2009,9513,"Bond County, Illinois",7383.81,8.15,756,29.3,609,40815.91,99204.27,29.8,84.02,10.21,2.78,0,2.07,0,0.92,0,16,16,2.12,2.12,0,0,0
17005951300,2010,9513,"Bond County, Illinois",6958,6.87,771,36.61,587,44795,95900,24.4,77.29,12.85,6.35,0.69,0.7,0.03,2.03,0.06,11,8,1.04,1.43,0,0,0
17005951300,2011,9513,"Bond County, Illinois",6790,13.61,778,41.86,594,46151,105100,24.9,78.04,10.99,5.67,0.13,1.84,0,3.06,0.27,11,11,1.41,1.41,0,0,0
17005951300,2012,9513,"Bond County, Illinois",6790,13.61,785,41.86,594,46151,105100,24.9,78.04,10.99,5.67,0.13,1.84,0,3.06,0.27,12,7,0.89,1.53,0,0,0
17005951300,2013,9513,"Bond County, Illinois",6790,13.61,792,41.86,594,46151,105100,24.9,78.04,10.99,5.67,0.13,1.84,0,3.06,0.27,8,3,0.38,1.01,1,0,0
17005951300,2015,9513,"Bond County, Illinois",6790,13.61,805,41.86,594,46151,105100,24.9,78.04,10.99,5.67,0.13,1.84,0,3.06,0.27,23,16,1.99,2.86,0,0,0
17005951400,2001,9514,"Bond County, Illinois",3177,7.26,150,12.04,415,40777,56300,19.7,98.02,0.13,0.69,0.22,0.03,0.19,0.72,0,2,2,1.33,1.33,0,0,0
17005951400,2002,9514,"Bond County, Illinois",3177,7.26,150,12.04,415,40777,56300,19.7,98.02,0.13,0.69,0.22,0.03,0.19,0.72,0,3,3,1.99,1.99,0,0,0
17005951400,2003,9514,"Bond County, Illinois",3177,7.26,151,12.04,415,40777,56300,19.7,98.02,0.13,0.69,0.22,0.03,0.19,0.72,0,3,3,1.99,1.99,0,0,0
17005951400,2004,9514,"Bond County, Illinois",3177,7.26,151,12.04,415,40777,56300,19.7,98.02,0.13,0.69,0.22,0.03,0.19,0.72,0,1,1,0.66,0.66,0,0,0
17005951400,2005,9514,"Bond County, Illinois",2879,6.37,151,9.91,640,55764,99600,25,96.98,0,1.11,0.63,0.73,0,0.56,0,1,1,0.66,0.66,0,0,0
17005951400,2006,9514,"Bond County, Illinois",2879,6.37,151,9.91,640,55764,99600,25,96.98,0,1.11,0.63,0.73,0,0.56,0,2,1,0.66,1.32,0,0,0
17005951400,2007,9514,"Bond County, Illinois",2879,6.37,151,9.91,640,55764,99600,25,96.98,0,1.11,0.63,0.73,0,0.56,0,1,1,0.66,0.66,0,0,0
17005951400,2008,9514,"Bond County, Illinois",2879,6.37,152,9.91,640,55764,99600,25,96.98,0,1.11,0.63,0.73,0,0.56,0,1,0,0,0.66,0,0,0
17005951400,2009,9514,"Bond County, Illinois",2879,6.37,152,9.91,640,55764,99600,25,96.98,0,1.11,0.63,0.73,0,0.56,0,1,1,0.66,0.66,0,0,0
17005951400,2010,9514,"Bond County, Illinois",3146,8.82,152,12.08,694,42939,94200,27.4,97.68,0.16,0.92,0.19,0.16,0,0.86,0.03,0,0,0,0,0,0,0
17005951400,2011,9514,"Bond County, Illinois",3179,9.52,155,13.73,724,48173,99500,29.1,94.97,1.64,2.55,0,0.19,0,0.66,0,2,1,0.65,1.29,0,0,0
17005951400,2012,9514,"Bond County, Illinois",3179,9.52,158,13.73,724,48173,99500,29.1,94.97,1.64,2.55,0,0.19,0,0.66,0,4,3,1.9,2.54,0,0,0
17005951400,2013,9514,"Bond County, Illinois",3179,9.52,161,13.73,724,48173,99500,29.1,94.97,1.64,2.55,0,0.19,0,0.66,0,1,1,0.62,0.62,1,0,0
17005951400,2015,9514,"Bond County, Illinois",3179,9.52,166,13.73,724,48173,99500,29.1,94.97,1.64,2.55,0,0.19,0,0.66,0,1,1,0.6,0.6,0,0,0
17005951500,2001,9515,"Bond County, Illinois",4376,8.54,275,16.2,411,36549,73000,22.6,96.96,0.62,1.01,0.5,0.18,0,0.71,0.02,9,5,1.82,3.27,0,0,0
17005951500,2002,9515,"Bond County, Illinois",4376,8.54,277,16.2,411,36549,73000,22.6,96.96,0.62,1.01,0.5,0.18,0,0.71,0.02,2,2,0.72,0.72,0,0,0
17005951500,2003,9515,"Bond County, Illinois",4376,8.54,279,16.2,411,36549,73000,22.6,96.96,0.62,1.01,0.5,0.18,0,0.71,0.02,2,2,0.72,0.72,0,0,0
17005951500,2004,9515,"Bond County, Illinois",4376,8.54,281,16.2,411,36549,73000,22.6,96.96,0.62,1.01,0.5,0.18,0,0.71,0.02,2,1,0.36,0.71,0,0,0
17005951500,2005,9515,"Bond County, Illinois",4572,8.43,283,13.82,643,47056,96900,14.6,98.32,0.42,1.05,0,0,0,0.22,0,2,1,0.35,0.71,0,0,0
17005951500,2006,9515,"Bond County, Illinois",4572,8.43,284,13.82,643,47056,96900,14.6,98.32,0.42,1.05,0,0,0,0.22,0,2,2,0.7,0.7,0,0,0
