GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
42001030101,2001,301.01,"Adams County, Pennsylvania",2454.85,6.68,103,11.93,550,52498.14,119495.79,22.2,96.87,0.12,1.86,0.04,0.36,0.04,0.63,0.08,10,5,4.85,9.69,0,0,0
42001030101,2002,301.01,"Adams County, Pennsylvania",2454.85,6.68,102,11.93,550,52498.14,119495.79,22.2,96.87,0.12,1.86,0.04,0.36,0.04,0.63,0.08,2,1,0.98,1.95,0,0,0
42001030101,2003,301.01,"Adams County, Pennsylvania",2454.85,6.68,102,11.93,550,52498.14,119495.79,22.2,96.87,0.12,1.86,0.04,0.36,0.04,0.63,0.08,3,1,0.98,2.95,0,0,0
42001030101,2004,301.01,"Adams County, Pennsylvania",2454.85,6.68,101,11.93,550,52498.14,119495.79,22.2,96.87,0.12,1.86,0.04,0.36,0.04,0.63,0.08,1,1,0.99,0.99,0,0,0
42001030101,2005,301.01,"Adams County, Pennsylvania",2767.57,2.07,100,7.05,582.02,70757.98,202990,30,96.42,0,3.58,0,0,0,0,0,7,7,6.97,6.97,0,0,0
42001030101,2006,301.01,"Adams County, Pennsylvania",2767.57,2.07,100,7.05,582.02,70757.98,202990,30,96.42,0,3.58,0,0,0,0,0,6,3,3.01,6.02,0,0,0
42001030102,2001,301.02,"Adams County, Pennsylvania",5106,8.61,225,12.42,543,47571,107500,18.6,97.53,0.18,1.19,0.24,0.18,0.02,0.67,0,27,9,4,12.01,0,0,0
42001030102,2002,301.02,"Adams County, Pennsylvania",5106,8.61,226,12.42,543,47571,107500,18.6,97.53,0.18,1.19,0.24,0.18,0.02,0.67,0,25,11,4.87,11.07,0,0,0
42001030102,2003,301.02,"Adams County, Pennsylvania",5106,8.61,227,12.42,543,47571,107500,18.6,97.53,0.18,1.19,0.24,0.18,0.02,0.67,0,28,10,4.41,12.35,0,0,0
42001030102,2004,301.02,"Adams County, Pennsylvania",5106,8.61,228,12.42,543,47571,107500,18.6,97.53,0.18,1.19,0.24,0.18,0.02,0.67,0,18,6,2.64,7.91,0,0,0
42001030102,2005,301.02,"Adams County, Pennsylvania",5651,6,229,17.08,701,59891,199100,24.1,94.3,0.76,4.94,0,0,0,0,0,34,11,4.81,14.88,0,0,0
42001030102,2006,301.02,"Adams County, Pennsylvania",5651,6,229,17.08,701,59891,199100,24.1,94.3,0.76,4.94,0,0,0,0,0,46,29,12.64,20.05,0,0,0
42001030200,2001,302,"Adams County, Pennsylvania",5157.3,7.08,393,21.07,571.62,43507.9,99193.96,18.65,91.32,0.76,6.49,0.18,0.59,0,0.67,0,22,12,3.05,5.6,0,0,0
42001030200,2002,302,"Adams County, Pennsylvania",5157.3,7.08,398,21.07,571.62,43507.9,99193.96,18.65,91.32,0.76,6.49,0.18,0.59,0,0.67,0,13,9,2.26,3.26,0,0,0
42001030200,2003,302,"Adams County, Pennsylvania",5157.3,7.08,404,21.07,571.62,43507.9,99193.96,18.65,91.32,0.76,6.49,0.18,0.59,0,0.67,0,25,12,2.97,6.19,0,0,0
42001030200,2004,302,"Adams County, Pennsylvania",5157.3,7.08,409,21.07,571.62,43507.9,99193.96,18.65,91.32,0.76,6.49,0.18,0.59,0,0.67,0,29,14,3.42,7.09,0,0,0
42001030200,2005,302,"Adams County, Pennsylvania",6105.98,4.43,415,20.09,691.46,51356.95,154720.24,25.07,86.64,1.9,10.25,0,0.21,0,1,0,31,19,4.58,7.47,0,0,0
42001030200,2006,302,"Adams County, Pennsylvania",6105.98,4.43,420,20.09,691.46,51356.95,154720.24,25.07,86.64,1.9,10.25,0,0.21,0,1,0,23,15,3.57,5.47,0,0,0
42001030300,2001,303,"Adams County, Pennsylvania",3546.55,8.64,293,22.67,518.03,41141.45,99300.33,20,87.92,1.1,9.74,0.17,0.06,0.03,0.68,0.31,9,1,0.34,3.07,0,0,0
42001030300,2002,303,"Adams County, Pennsylvania",3546.55,8.64,297,22.67,518.03,41141.45,99300.33,20,87.92,1.1,9.74,0.17,0.06,0.03,0.68,0.31,12,9,3.03,4.04,0,0,0
42001030300,2003,303,"Adams County, Pennsylvania",3546.55,8.64,301,22.67,518.03,41141.45,99300.33,20,87.92,1.1,9.74,0.17,0.06,0.03,0.68,0.31,9,6,1.99,2.99,0,0,0
42001030300,2004,303,"Adams County, Pennsylvania",3546.55,8.64,305,22.67,518.03,41141.45,99300.33,20,87.92,1.1,9.74,0.17,0.06,0.03,0.68,0.31,9,8,2.63,2.95,0,0,0
42001030300,2005,303,"Adams County, Pennsylvania",4006.2,3.94,308,25.37,728.97,49511.07,172389.3,23.3,81.6,1.87,16.06,0,0.47,0,0,0,15,8,2.59,4.86,0,0,0
42001030300,2006,303,"Adams County, Pennsylvania",4006.2,3.94,312,25.37,728.97,49511.07,172389.3,23.3,81.6,1.87,16.06,0,0.47,0,0,0,6,3,0.96,1.92,0,0,0
42001030400,2001,304,"Adams County, Pennsylvania",5435.94,6.97,431,21.52,496,43979,108499.99,19.7,90,1.53,7.36,0.24,0.11,0,0.59,0.18,8,4,0.93,1.86,0,0,0
