GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
53001950100,2004,9501,"Adams County, Washington",2547,14.83,284,27.02,409,36360,79800,26,94.58,0.24,2.71,0.55,0.51,0,1.37,0.04,4,4,1.41,1.41,0,0,0
53001950100,2005,9501,"Adams County, Washington",2504,6.61,286,25.92,552,43854,113000,24.2,92.17,1.08,3.15,1.36,0,0,2.24,0,7,4,1.4,2.45,0,0,0
53001950100,2007,9501,"Adams County, Washington",2504,6.61,289,25.92,552,43854,113000,24.2,92.17,1.08,3.15,1.36,0,0,2.24,0,5,1,0.35,1.73,1,0,0
53001950100,2008,9501,"Adams County, Washington",2504,6.61,290,25.92,552,43854,113000,24.2,92.17,1.08,3.15,1.36,0,0,2.24,0,2,1,0.34,0.69,1,0,0
53001950100,2009,9501,"Adams County, Washington",2504,6.61,292,25.92,552,43854,113000,24.2,92.17,1.08,3.15,1.36,0,0,2.24,0,2,2,0.69,0.69,0,0,0
53001950100,2010,9501,"Adams County, Washington",2447,8.15,293,28.15,545,44282,126500,32.7,92.77,0.08,4.58,0.94,0.37,0,1.27,0,2,1,0.34,0.68,1,0,0
53001950100,2011,9501,"Adams County, Washington",2395,8.28,298,32.05,640,47535,132600,24.9,91.32,0.17,4.68,0.38,0.17,0,3.3,0,2,1,0.34,0.67,1,0,0
53001950100,2012,9501,"Adams County, Washington",2395,8.28,303,32.05,640,47535,132600,24.9,91.32,0.17,4.68,0.38,0.17,0,3.3,0,1,1,0.33,0.33,1,0,0
53001950100,2015,9501,"Adams County, Washington",2395,8.28,317,32.05,640,47535,132600,24.9,91.32,0.17,4.68,0.38,0.17,0,3.3,0,2,2,0.63,0.63,1,0,0
53001950200,2004,9502,"Adams County, Washington",1895,12.35,226,32.96,452,38333,64400.01,18.9,87.18,0.11,10.18,0.42,0.26,0.05,1.79,0,2,1,0.44,0.89,0,0,0
53001950200,2005,9502,"Adams County, Washington",1858,14.78,223,29.49,673,42132,84400.02,21,81.11,0,13.29,0.75,0,0,4.84,0,1,0,0,0.45,0,0,0
53001950200,2007,9502,"Adams County, Washington",1858,14.78,218,29.49,673,42132,84400.02,21,81.11,0,13.29,0.75,0,0,4.84,0,1,1,0.46,0.46,1,0,0
53001950200,2008,9502,"Adams County, Washington",1858,14.78,215,29.49,673,42132,84400.02,21,81.11,0,13.29,0.75,0,0,4.84,0,3,1,0.46,1.39,1,0,0
53001950200,2009,9502,"Adams County, Washington",1858,14.78,213,29.49,673,42132,84400.02,21,81.11,0,13.29,0.75,0,0,4.84,0,1,1,0.47,0.47,0,0,0
53001950200,2010,9502,"Adams County, Washington",1738,14.97,210,30.04,630,36371,86900,28.3,83.95,1.21,11.62,0.58,0.63,0.12,1.9,0,0,0,0,0,1,0,0
53001950200,2011,9502,"Adams County, Washington",1621,16.01,213,34.07,831,52500,87800,21.6,84.15,0,12.65,0.43,0.37,0.12,2.28,0,2,1,0.47,0.94,1,0,0
53001950200,2012,9502,"Adams County, Washington",1621,16.01,216,34.07,831,52500,87800,21.6,84.15,0,12.65,0.43,0.37,0.12,2.28,0,1,0,0,0.46,1,0,0
53001950200,2015,9502,"Adams County, Washington",1621,16.01,225,34.07,831,52500,87800,21.6,84.15,0,12.65,0.43,0.37,0.12,2.28,0,0,0,0,0,1,0,0
53001950300,2004,9503,"Adams County, Washington",5883.03,14.36,422,22.11,520,36277.98,114499.93,20.4,38.06,0.02,60.22,0.19,0.31,0,1.19,0.02,8,3,0.71,1.9,0,0,0
53001950300,2005,9503,"Adams County, Washington",5835.03,21.55,437,31.42,562,43057.96,128299.9,21.6,32.2,0,66.92,0,0.19,0,0,0.69,5,3,0.69,1.14,0,0,0
53001950300,2007,9503,"Adams County, Washington",5835.03,21.55,468,31.42,562,43057.96,128299.9,21.6,32.2,0,66.92,0,0.19,0,0,0.69,2,2,0.43,0.43,1,0,0
